CfgWeapons
"bravo_acr_68_crew", Remington ACR 6.8mm (Compact)
"bravo_acr_68_rifle", Remington ACR 6.8mm
"bravo_acr_68_rifle_long", Remington ACR 6.8mm (Long)
"bravo_acr_68_carbine", Remington ACR 6.8mm (Carbine)
"bravo_acr_68_carbine_ugl", Remington ACR 6.8mm M203 (Carbine)
"bravo_hs50_20", Steyr HS-50/20
"bravo_sdar_762", RFB
"bravo_tavor_7", Tavor 7
"bravo_mk200_556", Stoner 99 LMG 556
"bravo_mk200_556_blk", Stoner 99 LMG 556 (Black)
"bravo_msbs_556", MSBS Grot-B 556
"bravo_msbs_556_camo", MSBS Grot-B 556 (Camo)
"bravo_msbs_556_black", MSBS Grot-B 556 (Black)
"bravo_msbs_556_sand", MSBS Grot-B 556 (Sand)
"bravo_msbs_556_mark", MSBS Grot-B 556 MR
"bravo_msbs_556_mark_camo", MSBS Grot-B 556 MR (Camo)
"bravo_msbs_556_mark_black", MSBS Grot-B 556 MR (Black)
"bravo_msbs_556_mark_sand", MSBS Grot-B 556 MR (Sand)
"bravo_msbs_556_gl", MSBS Grot-B 556 GL
"bravo_msbs_556_gl_camo", MSBS Grot-B 556 GL (Camo)
"bravo_msbs_556_gl_black", MSBS Grot-B 556 GL (Black)
"bravo_msbs_556_gl_sand", MSBS Grot-B 556 GL (Sand)
"bravo_msbs_556_ubs", MSBS Grot-B 556 SG
"bravo_msbs_556_ubs_camo", MSBS Grot-B 556 SG (Camo)
"bravo_msbs_556_ubs_black", MSBS Grot-B 556 SG (Black)
"bravo_msbs_556_ubs_sand", MSBS Grot-B 556 (Sand)
"bravo_mg34f2", MG 34F2
"bravo_mg34f1", MG 34F1
"bravo_carrier_nobelt_rf_blk", Carrier Lite Vest (Black)
"bravo_carrier_nobelt_rf_rgr", Carrier Lite Vest (Green)
"bravo_carrier_nobelt_rf_brn", Carrier Lite Vest (Brown)
"bravo_carrier_nobelt_rf_mtpdes", Carrier Lite Vest (Desert MTP)
"bravo_carrier_nobelt_rf_mtptrp", Carrier Lite Vest (Tropic MTP)
"bravo_carrier_nobelt_rf_mtpwdl", Carrier Lite Vest (Woodland MTP)
"bravo_carrier_nobelt_rf_win", Carrier Lite Vest (Winter)
"bravo_carrier_nobelt_rf_khk", Carrier Lite Vest (Khaki)
"bravo_carrier_nobelt_rf_des", Carrier Lite Vest (Desert)
"bravo_carrier_nobelt_ws_blk", CTRG Plate Carrier Rig (Black)
"bravo_carrier_nobelt_ws_brn", CTRG Plate Carrier Rig (Brown)
"bravo_carrier_nobelt_ws_rgr", CTRG Plate Carrier Rig (Green)
"bravo_carrier_nobelt_ws_win", CTRG Plate Carrier Rig (Winter)
"bravo_carrier_nobelt_ws_khk", CTRG Plate Carrier Rig (Khaki)
"bravo_carrier_nobelt_ws_des", CTRG Plate Carrier Rig (Desert)
"bravo_6sh122_gloves_olive", 6Sh122 (Olive/Gloves)
"bravo_cryeg3_bravocam", G3 Uniform (BravoCam)
"bravo_combatuniform_tactee_aaf_ws", Combat Fatigues [AAF] (Tee)
"bravo_combatuniform_tshirt_ion_dpm_ws", Combat Fatigues T-Shirt 03 [ION] (DPM)
"bravo_combatuniform_tshirt_ion_ddpm_ws", Combat Fatigues T-Shirt 03 [ION] (DDPM)
"bravo_combatuniform_tactee_ion_ddpm_ws", Combat Fatigues T-Shirt 02 [ION] (DDPM)
"bravo_combatuniform_tactee_ion_dpm_ws", Combat Fatigues T-Shirt 02 [ION] (DPM)
"bravo_combatuniform_tactee_ion_marpatwd_ws", Combat Fatigues T-Shirt 02 [ION] (MARPAT-WD)
"bravo_combatuniform_tactee_ion_marpatd_ws", Combat Fatigues T-Shirt 02 [ION] (MARPAT-D)
"bravo_combatuniform_tshirt_ion_marpatwd_ws", Combat Fatigues T-Shirt 03 [ION] (MARPAT-WD)
"bravo_combatuniform_tshirt_ion_marpatd_ws", Combat Fatigues T-Shirt 03 [ION] (MARPAT-D)
"bravo_combatuniform_tshirt_mtp_ws", Combat Uniform MTP T-Shirt [BAF]
"bravo_combatuniform_tactee_mtp_ws", Combat Uniform MTP Combat Shirt [BAF]
"bravo_combatuniform_tshirt_dpmtrop_ws", Combat Uniform DPM Trop T-Shirt [BAF]
"bravo_combatuniform_tshirt_dpmt_ws", Combat Uniform DPM Tmp T-Shirt [BAF]
"bravo_combatuniform_tshirt_dpmj_ws", Combat Uniform DPM Jun T-Shirt [BAF]
"bravo_combatuniform_tshirt_dpmw_ws", Combat Uniform DPM Wdl T-Shirt [BAF]
"bravo_combatuniform_tshirt_ddpm_ws", Combat Uniform DDPM T-Shirt [BAF]
"bravo_combatuniform_tactee_dpmtrop_ws", Combat Uniform DPM Trop Combat Shirt [BAF]
"bravo_combatuniform_tactee_dpmt_ws", Combat Uniform DPM Tmp Combat Shirt [BAF]
"bravo_combatuniform_tactee_dpmj_ws", Combat Uniform DPM Jun Combat Shirt [BAF]
"bravo_combatuniform_tactee_dpmw_ws", Combat Uniform DPM Wdl Combat Shirt [BAF]
"bravo_combatuniform_tactee_ddpm_ws", Combat Uniform DDPM Combat Shirt [BAF]
"bravo_combatuniform_tactee_ion_mtp_ws", Combat Fatigues T-Shirt 02 [ION] (MTP)
"bravo_combatuniform_tshirt_ion_mtp_ws", Combat Fatigues T-Shirt 03 [ION] (MTP)
"bravo_combatuniformn_tactee_ion_mtp", Combat Fatigues T-Shirt [ION] (MTP)
"bravo_combatuniformn_tactee_ion_mtpt", Combat Fatigues T-Shirt [ION] (Tropic MTP)
"bravo_combatuniformn_tactee_ion_mtpw", Combat Fatigues T-Shirt [ION] (Woodland MTP)
"bravo_combatuniformn_tactee_ion_mtpd", Combat Fatigues T-Shirt [ION] (Desert MTP)
"bravo_fast_fg_headset_medic", FAST Ballistic (Foliage Green Cover/Headset/Medic)
"bravo_fast_fg_headset_stupid", FAST Ballistic (Foliage Green Cover/Headset/Stupid)
"bravo_fast_coy_cover_headset", FAST Ballistic (Coyote Cover/Headset)
"bravo_fast_ut_headset_medic", FAST Ballistic (Urban Tan/Headset/Medic)
"bravo_fast_ut_headset_barvo", FAST Ballistic (Urban Tan/Headset/Barvo)
"bravo_fast_rg_cover_headset", FAST Ballistic (Ranger Green Cover/Headset)
"bravo_fast_flk_cover_headset", FAST Ballistic (Flecktarn Cover/Headset)
"bravo_fast_rg_cover_headset_red", FAST Ballistic (Ranger Green Cover/Headset/Red Team)
